x,Pdis
-29.59301083652943,-8.517093186415904
-28.59301083652943,-7.823946005855959
-27.59301083652943,-6.319868609079685
-26.59301083652943,-9.21024036697585
-25.59301083652943,
-24.59301083652943,
-23.59301083652943,
-22.59301083652943,
-21.59301083652943,
-20.59301083652943,
-19.59301083652943,
-18.59301083652943,
-17.59301083652943,
-16.59301083652943,
-15.59301083652943,
-14.59301083652943,
-13.59301083652943,-9.21024036697585
-12.59301083652943,
-11.59301083652943,
-10.59301083652943,
-9.59301083652943,
-8.59301083652943,-9.21024036697585
-7.59301083652943,
-6.59301083652943,
-5.59301083652943,-8.517093186415904
-4.59301083652943,-7.264330217920536
-3.59301083652943,-6.377027022919633
-2.59301083652943,-3.772161058052654
-1.5930108365294302,-0.07591748142358258
-0.5930108365294302,-3.105447134560864
