x2-x1,corr,error
1.0,4.465741618004144,
2.0,2.9202170310876943,
3.0,2.5634533444187952,
4.0,2.2110491620762027,
5.0,2.0260709844567697,
6.0,1.8431171838635727,
7.0,1.714291410906536,
8.0,1.6208257549859904,
9.0,1.5494598162643571,
10.0,1.4795033527127346,0.0023693600985122483
11.0,1.4395294167983004,0.0024414649763926607
12.0,1.3933252738293995,0.002423375507157372
13.0,1.3721264037715983,0.0023336064921468296
14.0,1.3462999954287118,0.0023376118811619206
15.0,1.3411739277337393,0.0028358457850935523
16.0,1.3309093250869073,0.002866409725253538
