x2-x1,corr,error
1.0,4.496200056025703,
2.0,2.959963778164866,
3.0,2.5976299080133423,
4.0,2.2423477220969947,
5.0,2.0454419329088127,
6.0,1.8477639784187625,
7.0,1.7141779413462241,
8.0,1.6095151150251565,
9.0,1.5295598535665156,
10.0,1.4413385835278185,0.0028352703789721974
11.0,1.3906578365738453,0.0027974896946480186
12.0,1.335731305716278,0.002608349305912186
13.0,1.301475684643945,0.002731088537235664
14.0,1.2637282472340254,0.0026185145170010485
15.0,1.2418312801835203,0.0026152532719753117
16.0,1.2166050427440245,0.0026997740315196014
17.0,1.2050337532948239,0.0028816176702180867
18.0,1.1894841911326954,0.0026756414661423212
19.0,1.1858451969362018,0.002922721986817868
20.0,1.1790747286993142,0.002827395779219081
