x,Pdis
-28.293727852399172,-7.013115794639964
-27.293727852399172,-7.418580902748128
-26.293727852399172,-9.210340371976182
-25.293727852399172,-8.517193191416238
-24.293727852399172,-9.210340371976182
-23.293727852399172,
-22.293727852399172,
-21.293727852399172,
-20.293727852399172,
-19.293727852399172,
-18.293727852399172,
-17.293727852399172,
-16.293727852399172,
-15.293727852399172,
-14.293727852399172,
-13.293727852399172,
-12.293727852399172,
-11.293727852399172,
-10.293727852399172,
-9.293727852399172,
-8.293727852399172,
-7.293727852399172,-9.210340371976182
-6.293727852399172,-9.210340371976182
-5.293727852399172,-7.824046010856292
-4.293727852399172,-5.7763531674910364
-3.293727852399172,-2.5678535706089263
-2.293727852399172,-0.3843398264932162
-1.2937278523991722,-1.4662037443481926
-0.2937278523991722,-5.115995809754082
