x,Pdis
-28.74372785239917,-8.517193191416238
-28.64372785239917,
-28.54372785239917,
-28.443727852399167,
-28.343727852399166,
-28.243727852399164,
-28.143727852399163,
-28.04372785239916,
-27.94372785239916,-8.517193191416238
-27.84372785239916,
-27.743727852399157,
-27.643727852399156,-8.517193191416238
-27.543727852399154,
-27.443727852399153,
-27.34372785239915,-9.210340371976182
-27.24372785239915,
-27.14372785239915,
-27.043727852399147,
-26.943727852399146,-8.517193191416238
-26.843727852399144,
-26.743727852399143,-9.210340371976182
-26.64372785239914,-9.210340371976182
-26.54372785239914,-9.210340371976182
-26.44372785239914,
-26.343727852399137,-8.111728083308073
-26.243727852399136,-9.210340371976182
-26.143727852399135,
-26.043727852399133,
-25.94372785239913,
-25.84372785239913,
-25.74372785239913,
-25.643727852399127,
-25.543727852399126,-9.210340371976182
-25.443727852399125,
-25.343727852399123,
-25.24372785239912,
-25.14372785239912,-9.210340371976182
-25.04372785239912,
-24.943727852399117,
-24.843727852399116,
-24.743727852399115,
-24.643727852399113,
-24.543727852399112,
-24.44372785239911,
-24.34372785239911,
-24.243727852399108,
-24.143727852399106,
-24.043727852399105,
-23.943727852399103,
-23.843727852399102,
-23.7437278523991,
-23.6437278523991,
-23.543727852399098,
-23.443727852399096,
-23.343727852399095,
-23.243727852399093,-9.210340371976182
-23.143727852399092,
-23.04372785239909,
-22.94372785239909,
-22.843727852399088,
-22.743727852399086,
-22.643727852399085,
-22.543727852399083,
-22.443727852399082,
-22.34372785239908,
-22.24372785239908,
-22.143727852399078,
-22.043727852399076,
-21.943727852399075,
-21.843727852399073,
-21.743727852399072,
-21.64372785239907,
-21.54372785239907,
-21.443727852399068,
-21.343727852399066,
-21.243727852399065,
-21.143727852399063,
-21.043727852399062,
-20.94372785239906,
-20.84372785239906,
-20.743727852399058,
-20.643727852399056,
-20.543727852399055,
-20.443727852399054,
-20.343727852399052,
-20.24372785239905,
-20.14372785239905,
-20.043727852399048,
-19.943727852399046,
-19.843727852399045,
-19.743727852399044,
-19.643727852399042,
-19.54372785239904,
-19.44372785239904,
-19.343727852399038,
-19.243727852399036,
-19.143727852399035,
-19.043727852399034,
-18.943727852399032,
-18.84372785239903,
-18.74372785239903,
-18.643727852399028,
-18.543727852399027,
-18.443727852399025,
-18.343727852399024,
-18.243727852399022,
-18.14372785239902,
-18.04372785239902,
-17.943727852399018,
-17.843727852399017,
-17.743727852399015,
-17.643727852399014,
-17.543727852399012,
-17.44372785239901,
-17.34372785239901,
-17.243727852399008,
-17.143727852399007,
-17.043727852399005,
-16.943727852399004,
-16.843727852399002,
-16.743727852399,
-16.643727852399,
-16.543727852398998,
-16.443727852398997,
-16.343727852398995,
-16.243727852398994,
-16.143727852398992,
-16.04372785239899,
-15.94372785239899,
-15.843727852398988,
-15.743727852398987,
-15.643727852398985,
-15.543727852398984,
-15.443727852398982,
-15.343727852398981,
-15.24372785239898,
-15.143727852398978,
-15.043727852398977,
-14.943727852398975,
-14.843727852398974,
-14.743727852398973,
-14.643727852398971,
-14.54372785239897,
-14.443727852398968,
-14.343727852398967,
-14.243727852398965,
-14.143727852398964,
-14.043727852398963,
-13.943727852398961,
-13.84372785239896,
-13.743727852398958,
-13.643727852398957,
-13.543727852398955,
-13.443727852398954,
-13.343727852398953,
-13.243727852398951,
-13.14372785239895,
-13.043727852398948,
-12.943727852398947,
-12.843727852398946,
-12.743727852398944,
-12.643727852398943,
-12.543727852398941,
-12.44372785239894,
-12.343727852398938,
-12.243727852398937,
-12.143727852398936,
-12.043727852398934,
-11.943727852398933,
-11.843727852398931,
-11.74372785239893,
-11.643727852398928,
-11.543727852398927,
-11.443727852398926,
-11.343727852398924,
-11.243727852398923,
-11.143727852398921,
-11.04372785239892,
-10.943727852398919,
-10.843727852398917,
-10.743727852398916,
-10.643727852398914,
-10.543727852398913,
-10.443727852398911,
-10.34372785239891,
-10.243727852398909,
