x2-x1,corr,error
1.0,4.475625512004846,
2.0,2.947089922936752,
3.0,2.5930458823880134,
4.0,2.241440728586132,
5.0,2.0428834918899996,
6.0,1.8670754589989877,
7.0,1.7371382677693168,
8.0,1.6361541794838295,
9.0,1.5661769520729392,
10.0,1.500698470605124,0.0022000684862558324
11.0,1.4602593839373696,0.002463212605275119
12.0,1.414403830392192,0.0023448437379040353
13.0,1.3925552313619658,0.002338827325081854
14.0,1.3665749829089433,0.00242763461907733
15.0,1.3610079826878705,0.0030551623188879644
16.0,1.3516123877095896,0.003356422502773672
