x2-x1,corr,error
1.0,4.4760173424141465,
2.0,2.940057545569891,
3.0,2.588370697377273,
4.0,2.233471503852289,
5.0,2.035909583214128,
6.0,1.8564919962823012,
7.0,1.7249181444614448,
8.0,1.6283816047746518,
9.0,1.559644845409242,
10.0,1.4950391130537533,0.002733522162441241
11.0,1.4549771858314569,0.0030180639148805885
12.0,1.409046857515329,0.002957258012775023
13.0,1.387752687533002,0.0027700249767422117
14.0,1.361498957260479,0.002881973621853118
15.0,1.3558613523116847,0.0033543975138694494
16.0,1.3457876369653596,0.0034694970347974347
