x,Pdis
-29.30532876407765,-7.824046010856292
-28.30532876407765,-6.571283042360924
-27.30532876407765,-6.571283042360924
-26.30532876407765,-7.013115794639964
-25.30532876407765,-8.517193191416238
-24.30532876407765,-8.517193191416238
-23.30532876407765,
-22.30532876407765,
-21.30532876407765,
-20.30532876407765,
-19.30532876407765,
-18.30532876407765,
-17.30532876407765,
-16.30532876407765,
-15.30532876407765,
-14.30532876407765,
-13.30532876407765,
-12.30532876407765,
-11.30532876407765,
-10.30532876407765,
-9.30532876407765,-9.210340371976182
-8.30532876407765,
-7.30532876407765,-8.517193191416238
-6.30532876407765,-8.111728083308073
-5.30532876407765,-6.725433722188183
-4.30532876407765,-5.654992310486769
-3.3053287640776503,-2.631089159966082
-2.3053287640776503,-0.26618154100577845
-1.3053287640776503,-1.8851914140206076
-0.3053287640776503,-9.210340371976182
