x2-x1,corr,error
1.0,4.937072428633561,
2.0,3.144004489170825,
3.0,2.9871971526819836,
4.0,2.4260079208780705,
5.0,2.3440146463887466,
6.0,2.000413250985033,
7.0,1.960526036095397,
8.0,1.7423067826424325,
9.0,1.734015685407469,
10.0,1.200060158469512,0.007035328147311174
11.0,1.1421826849737684,0.008210685090915888
12.0,1.0761023605653777,0.007099526944598186
13.0,1.031594798101964,0.007892367372766464
14.0,0.9808473995841674,0.006999295488201944
15.0,0.9458470867680456,0.007851246287002277
16.0,0.9054980389949007,0.0070053120121266
17.0,0.877123328044168,0.007795633282281472
18.0,0.8440321454613972,0.007022916508409244
19.0,0.820532197047222,0.0078256757789266
20.0,0.7929057138468032,0.007062661042198353
21.0,0.7735587966109908,0.007810176589282024
22.0,0.7500085522812132,0.007065924668616369
23.0,0.7330415293350938,0.007744256683715801
24.0,0.7130158421102305,0.0069949461155182965
25.0,0.6989778405886727,0.00768118009440665
26.0,0.6817838098165988,0.007079906784946399
27.0,0.6695955058389632,0.007773918946813759
28.0,0.6548374712181209,0.007176187404578168
29.0,0.6445494244495661,0.007975421046254795
30.0,0.6313524716149906,0.007239159151604715
31.0,0.6222672465489453,0.007841596519992161
32.0,0.6107945164233779,0.0072505851035034475
33.0,0.6031329524344216,0.007864941744149943
34.0,0.592929001104464,0.007350560276367306
35.0,0.5863994239930985,0.008060088122408693
36.0,0.5774801911746635,0.0076363908143106144
37.0,0.5712981649378068,0.008253184488151516
38.0,0.5631443730040268,0.00762596143842261
39.0,0.5580423878607853,0.008277378214717697
40.0,0.5510811315345331,0.007764777807005794
41.0,0.5466030266406394,0.008544531189375522
42.0,0.5403029714671547,0.007887124317307804
43.0,0.5368099423545589,0.00860626850916229
44.0,0.5312122752047507,0.008118082379718143
45.0,0.5281315737929775,0.008731278485271313
46.0,0.5231699891561382,0.008188459903265421
47.0,0.5207744361826292,0.008996115247675728
48.0,0.5163756644591052,0.008219042482166835
