x2-x1,corr,error
1.0,4.4757296907116535,
2.0,2.9417268364228755,
3.0,2.585103449095811,
4.0,2.2256339443288518,
5.0,2.029738562355269,
6.0,1.8500982948470897,
7.0,1.722102517868933,
8.0,1.6285365567466141,
9.0,1.5606083440404195,
10.0,1.490285826161451,0.002674603395738998
11.0,1.4501731819555295,0.002789861082189544
12.0,1.4039941538544016,0.002605014086627247
13.0,1.382454613302079,0.0024671530657180045
14.0,1.356369292106016,0.0028003481673175585
15.0,1.3508587456269372,0.003422879668512474
16.0,1.3410213838208302,0.0038293539365952174
