x2-x1,corr,error
1.0,5.044356321117652,
2.0,3.554883738065035,
3.0,3.311505534549191,
4.0,2.8565783521398806,
5.0,2.7534070657472167,
6.0,2.472451202307733,
7.0,2.3976825126231898,
8.0,2.2137944362459785,
9.0,2.1804727113174205,
10.0,1.6525343901817542,0.028246360184763796
11.0,1.6004345032859972,0.033831480999569494
12.0,1.545611212364891,0.03075709633193738
13.0,1.514367433408175,0.036344125104404046
14.0,1.4798413690772556,0.03379525449884621
15.0,1.464011013820162,0.04001221197724062
16.0,1.44325175165901,0.03639139439450271
